xi_max,phi,r_over_rs,D_star
0.9,1.58,1.4409973321989533,0.553205377056081
0.9,1.59,1.4401554221468418,0.5528385842871596
0.9,1.6,1.4393267720265601,0.5524769112177593
0.9,1.61,1.4385111403088782,0.552120281493538
0.9,1.62,1.437708290886159,0.551768620073351
0.9,1.63,1.436917992919991,0.5514218532010627
0.9,1.64,1.43614002069401,0.5510799083781236
0.9,1.65,1.435374153471718,0.5507427143368941
0.9,1.66,1.4346201753590893,0.5504102010146863
0.925,1.58,1.4270804638005554,0.5470545347448537
0.925,1.59,1.4262493512983407,0.5466811956290074
0.925,1.6,1.425431279221018,0.5463130395689414
0.925,1.61,1.424626010195149,0.5459499894303586
0.925,1.62,1.4238333121824025,0.5455919694074292
0.925,1.63,1.4230529583294391,0.5452389049941984
0.925,1.64,1.4222847268229157,0.544890722956774
0.925,1.65,1.42152840074941,0.5445473513062705
0.925,1.66,1.4207837679600666,0.5442087192724813
0.9500000000000001,1.58,1.4139011465337463,0.5410517317022924
0.9500000000000001,1.59,1.4130807936303507,0.5406721561270392
0.9500000000000001,1.6,1.4122732678322236,0.5402978240532821
0.9500000000000001,1.61,1.4114783357648297,0.5399286575894591
0.9500000000000001,1.62,1.410695769305591,0.5395645801875275
0.9500000000000001,1.63,1.4099253454359408,0.5392055166139726
0.9500000000000001,1.64,1.4091668460984301,0.538851392921611
0.9500000000000001,1.65,1.4084200580586812,0.5385021364221578
0.9500000000000001,1.66,1.4076847727719992,0.5381576756595378
0.9750000000000001,1.58,1.4014029701685475,0.5351909661224635
0.9750000000000001,1.59,1.40059331692978,0.5348054507939501
0.9750000000000001,1.6,1.3997962834414093,0.5344252366499265
0.9750000000000001,1.61,1.3990116401811805,0.534050245063452
0.9750000000000001,1.62,1.398239162798751,0.5336803987659373
0.9750000000000001,1.63,1.397478631969836,0.5333156218177588
0.9750000000000001,1.64,1.3967298332553402,0.5329558395796806
0.9750000000000001,1.65,1.3959925569652685,0.5326009786850535
0.9750000000000001,1.66,1.3952665980272319,0.532250967012765
1.0,1.58,1.3895351725785137,0.5294665972825987
1.0,1.59,1.3887361408403809,0.5290754262882428
1.0,1.6,1.38794952724227,0.5286896115352921
1.0,1.61,1.3871751059769304,0.5283090736825804
1.0,1.62,1.3864126563318706,0.5279337347618995
1.0,1.63,1.385661962545526,0.5275635181482285
1.0,1.64,1.3849228136683436,0.5271983485307791
1.0,1.65,1.384195003428583,0.5268381518848275
1.0,1.66,1.3834783301026494,0.5264828554443117
1.0250000000000001,1.58,1.3782519455588635,0.5238733164319489
1.0250000000000001,1.59,1.3774634420986844,0.5234767617896967
1.0250000000000001,1.6,1.37668716069671,0.5230856159463217
1.0250000000000001,1.61,1.3759228791319364,0.5226997988669062
1.0250000000000001,1.62,1.3751703802036703,0.5223192319038744
1.0250000000000001,1.63,1.3744294515896518,0.5219438377668407
1.0250000000000001,1.64,1.3736998857090246,0.5215735404932815
1.0250000000000001,1.65,1.3729814795899633,0.5212082654200079
1.0250000000000001,1.66,1.3722740347417743,0.5208479391554127
1.05,1.58,1.3675118409650653,0.5184061205867546
1.05,1.59,1.3667337601850453,0.5180044427780608
1.05,1.6,1.3659677106997343,0.5176082239439143
1.05,1.61,1.3652134737534032,0.5172173833754925
1.05,1.62,1.3644708355387198,0.5168318417654768
1.05,1.63,1.363739587056759,0.5164515211775196
1.05,1.64,1.363019523981798,0.5160763450165508
1.05,1.65,1.3623104465307116,0.5157062379998953
1.05,1.66,1.3616121593367785,0.5153411261291732
1.0750000000000002,1.58,1.3572772606232761,0.5130602888916184
1.0750000000000002,1.59,1.356509486824716,0.512653737376227
1.0750000000000002,1.6,1.355753558672094,0.5122526927387913
1.0750000000000002,1.61,1.3550092607611133,0.5118570736158488
1.0750000000000002,1.62,1.3542763825663375,0.5114668000593757
1.0750000000000002,1.63,1.353554718303028,0.5110817935058825
1.0750000000000002,1.64,1.3528440667937056,0.5107019767463565
1.0750000000000002,1.65,1.352144231339756,0.5103272738972979
1.0750000000000002,1.66,1.3514550195948867,0.5099576103712046
1.1,1.58,1.3475140165157324,0.5078313612531054
1.1,1.59,1.3467564258286977,0.5074201749644769
1.1,1.6,1.3460105000571858,0.5070145412871739
1.1,1.61,1.3452760270410318,0.5066143782218111
1.1,1.62,1.3445527994316293,0.506219605198153
1.1,1.63,1.3438406145555366,0.5058301430438402
1.1,1.64,1.343139274282752,0.5054459139539761
1.1,1.65,1.3424485848994732,0.5050668414615453
1.1,1.66,1.3417683569851577,0.5046928504086363
