M_msun,r_m,v_los_mps,v_tot_mps,z_obs,z_seg,z_grsr,error_seg,error_grsr,seg_wins,regime,x,deltaM_pct,phi_correction_factor,equilibrium_factor,is_photon_sphere,is_high_velocity,near_phi_boundary
840000000.0,7442415242808.535,287100000.0,293340000.0,0.536,11.63642764315749,10.61891888038141,11.10042764315749,10.08291888038141,False,Strong Field (3-10 r_s) + High Velocity,3.000000000000001,47.723059460401586,1.4772305946040158,1.0,False,True,False
320000000.0,2835205806784.203,266700000.0,278490000.0,0.361,5.247275839799885,5.251077651113963,4.886275839799885,4.890077651113963,True,Photon Sphere (2-3 r_s) + High Velocity,2.9999999999999996,-0.3314297616567652,0.9966857023834323,1.0,True,True,False
10.1,89486.18327662641,89000000.0,95000000.0,0.3,0.6216649033991017,0.6746423048514221,0.32166490339910175,0.3746423048514221,True,Photon Sphere (2-3 r_s) + High Velocity,3.0,-17.239490784232846,0.8276050921576715,1.0,True,True,False
1200000000.0,10632021775440.764,275400000.0,284250000.0,0.158,5.628777803772891,6.393954115451046,5.470777803772891,6.235954115451046,True,Photon Sphere (2-3 r_s) + High Velocity,3.0,-56.395000520724835,0.4360499947927517,1.0,True,True,False
14.8,131128.2685637694,45000000.0,52000000.0,0.156,0.28108244788033554,0.43026358967294764,0.12508244788033554,0.2742635896729476,True,Photon Sphere (2-3 r_s) + High Velocity,3.0,-56.839949495003154,0.4316005050499685,1.0,True,True,False
9.0,79740.16331580572,34000000.0,38000000.0,0.124,0.20889528348099162,0.3747337961864676,0.08489528348099162,0.25073379618646763,True,Photon Sphere (2-3 r_s) + High Velocity,3.0,-65.73892898056951,0.3426107101943049,1.0,True,True,False
180000000.0,1594803266316.1145,233700000.0,254550000.0,0.069,2.513584681873508,3.125833959084014,2.444584681873508,3.056833959084014,True,Strong Field (3-10 r_s) + High Velocity,3.0000000000000004,-80.86719410603233,0.19132805893967675,1.0,False,True,False
6.6,58476.1197649242,78000000.0,82000000.0,0.057,0.3559964195877352,0.6045890439762667,0.2989964195877352,0.5475890439762666,True,Strong Field (3-10 r_s) + High Velocity,3.0000000000000004,-84.42678590025888,0.1557321409974113,1.0,False,True,False
4297000.0,38071497974.22413,8000000.0,25000000.0,0.01234,0.03815938584955125,0.26182239489574743,0.025819385849551253,0.24948239489574744,True,Strong Field (3-10 r_s) + High Velocity,3.0000000000000004,-96.59436055087376,0.034056394491262465,1.0,False,True,False
4297000.0,38071497974.22413,6500000.0,19000000.0,0.00876,0.029300699894165394,0.2538200030585378,0.020540699894165394,0.2450600030585378,True,Strong Field (3-10 r_s) + High Velocity,3.0000000000000004,-97.58303717172018,0.024169628282798235,1.0,False,True,False
4297000.0,38071497974.22413,4200000.0,16000000.0,0.00567,0.019027275574885927,0.24367566592708512,0.013357275574885927,0.2380056659270851,True,Strong Field (3-10 r_s) + High Velocity,3.0000000000000004,-98.43555940643743,0.01564440593562566,1.0,False,True,False
4297000.0,38071497974.22413,9500000.0,16000000.0,0.00567,0.03679365239909971,0.26535870725245125,0.031123652399099706,0.25968870725245125,True,Strong Field (3-10 r_s) + High Velocity,3.0000000000000004,-98.43555940643743,0.01564440593562566,1.0,False,True,False
4297000.0,38071497974.22413,15000000.0,20000000.0,0.00456,0.05535416073360522,0.2888958871871794,0.050794160733605216,0.2843358871871794,True,Strong Field (3-10 r_s) + High Velocity,3.0000000000000004,-98.74212924971519,0.012578707502848051,1.0,False,True,False
4297000.0,38071497974.22413,18000000.0,22000000.0,0.00345,0.06518095802443691,0.30179038580916284,0.061730958024436906,0.29834038580916283,True,Strong Field (3-10 r_s) + High Velocity,3.0000000000000004,-99.04825414401867,0.009517458559813221,1.0,False,True,False
6500000000.0,57590117950304.125,292500000.0,296700000.0,0.00345,12.82006915665099,15.889914405058555,12.816619156650988,15.886464405058554,True,Photon Sphere (2-3 r_s) + High Velocity,2.9999999999999996,-99.0478091950444,0.009521908049556006,1.0,True,True,False
4297000.0,38071497974.22413,12000000.0,18000000.0,0.00234,0.04341922563602818,0.276070766626733,0.04107922563602818,0.273730766626733,True,Strong Field (3-10 r_s) + High Velocity,3.0000000000000004,-99.35437903832216,0.006456209616778395,1.0,False,True,False
4297000.0,38071497974.22413,2800000.0,12000000.0,0.00234,0.01161508456008531,0.23717524535632095,0.00927508456008531,0.23483524535632094,True,Strong Field (3-10 r_s),3.0000000000000004,-99.35437903832216,0.006456209616778395,1.0,False,False,False
4297000.0,38071497974.22413,3000000.0,15000000.0,0.00234,0.012740916810347613,0.23855210480781297,0.010400916810347613,0.23621210480781296,True,Strong Field (3-10 r_s) + High Velocity,3.0000000000000004,-99.35437903832216,0.006456209616778395,1.0,False,True,False
4297000.0,38071497974.22413,7200000.0,14000000.0,0.00123,0.025917207188858704,0.2555288694495468,0.024687207188858706,0.25429886944954677,True,Strong Field (3-10 r_s),3.0000000000000004,-99.66050393262564,0.0033949606737435664,1.0,False,False,False
4297000.0,38071497974.22413,12000000.0,18000000.0,0.00087,0.042469006070837034,0.276070766626733,0.04159900607083703,0.27520076662673304,True,Strong Field (3-10 r_s) + High Velocity,3.0000000000000004,-99.76017250286398,0.002398274971360134,1.0,False,True,False
